live_now,live_ideal
S,S
T,C
R,R
C,R
R,R
R,S
T,T
C,S
S,S
T,T
C,T
S,S
C,C
S,S
T,T
S,C
S,C
C,R
S,T
S,R
T,S
T,T
C,T
C,S
S,S
T,C
C,C
S,T
T,T
C,S
T,S
R,R
S,C
S,S
T,C
C,C
S,S
C,C
T,R
C,C
T,T
C,S
T,R
C,R
R,R
C,C
C,T
R,S
T,T
C,T
S,T
S,R
T,R
S,S
C,C
C,C
C,R
R,R
S,S
C,S
S,S
S,T
C,C
C,T
S,T
C,C
R,R
T,T
T,T
T,T
C,C
R,T
T,T
C,R
R,R
C,C
T,S
R,R
R,T
C,C
T,T
C,C
C,C
R,T
T,T
T,T
R,R
S,C
R,R
T,T
T,T
S,C
S,S
S,S
S,C
S,S
C,T
C,S
R,S
T,R
